payment_id,account_id,payment_date,payment_amount,payment_channel,payment_type,source_system,reversal_of_payment_id
P00000076,A000073,2025-06-05,741.65,bank_transfer,payment,customer_portal,
P00000077,A000074,2025-12-22,250.33,bpay,payment,agency_file,
P00000078,A000074,2026-01-29,314.84,bank_transfer,payment,customer_portal,
P00000079,A000074,2026-03-05,173.93,direct_debit,payment,agency_file,
P00000080,A000074,2026-03-30,112.42,bank_transfer,payment,customer_portal,
P00000081,A000075,2025-09-26,135.9,bank_transfer,payment,agency_file,
P00000082,A000075,2025-10-01,153.61,direct_debit,payment,direct_debit,
P00000083,A000075,2025-10-28,179.71,bpay,payment,bank_file,
P00000084,A000077,2025-03-03,1027.01,cash,payment,bank_file,
P00000085,A000077,2025-03-04,684.31,bank_transfer,payment,direct_debit,
P00000086,A000077,2025-04-20,468.66,bpay,payment,agency_file,
P00000087,A000077,2025-05-03,596.71,bank_transfer,payment,agency_file,
P00000088,A000083,2025-10-02,282.81,bank_transfer,payment,direct_debit,
P00000089,A000083,2025-10-10,253.06,bpay,payment,customer_portal,
P00000090,A000083,2025-10-24,241.64,bank_transfer,payment,bank_file,
P00000091,A000086,2025-10-20,519.52,bpay,payment,agency_file,
P00000092,A000088,2025-08-02,218.51,bank_transfer,payment,bank_file,
P00000093,A000088,2025-08-15,384.88,direct_debit,payment,agency_file,
P00000094,A000090,2025-05-29,93.99,card,payment,agency_file,
P00000095,A000090,2025-06-09,249.02,card,payment,agency_file,
P00000096,A000091,2025-09-27,279.09,bank_transfer,payment,customer_portal,
P00000097,A000091,2025-10-19,499.76,bpay,payment,direct_debit,
P00000098,A000091,2025-11-18,540.17,card,payment,agency_file,
P00000099,A000091,2025-12-03,754.84,direct_debit,payment,agency_file,
P00000100,A000092,2025-12-05,632.12,direct_debit,payment,direct_debit,
P00000101,A000095,2025-11-05,44.61,bpay,payment,agency_file,
P00000102,A000095,2025-12-03,120.48,card,payment,customer_portal,
P00000103,A000097,2026-01-06,334.24,direct_debit,payment,direct_debit,
P00000104,A000097,2026-01-27,1853.11,bank_transfer,payment,direct_debit,
P00000105,A000098,2026-01-15,741.26,cash,payment,agency_file,
P00000106,A000099,2025-10-05,1022.14,direct_debit,payment,agency_file,
P00000107,A000099,2025-10-06,2157.52,card,payment,bank_file,
P00000108,A000101,2025-10-24,450.82,bank_transfer,payment,customer_portal,
P00000109,A000101,2025-11-17,263.71,bpay,payment,agency_file,
P00000110,A000101,2025-12-21,389.3,direct_debit,payment,agency_file,
P00000111,A000102,2025-12-05,157.73,card,payment,direct_debit,
P00000112,A000103,2026-04-27,404.91,cash,payment,bank_file,
P00000113,A000104,2025-07-31,503.08,bpay,payment,agency_file,
P00000114,A000104,2025-08-21,504.33,card,payment,agency_file,
P00000115,A000104,2025-10-10,825.15,cash,payment,agency_file,
P00000116,A000104,2025-11-14,1352.37,bpay,payment,agency_file,
P00000117,A000110,2026-02-05,11.17,card,payment,customer_portal,
P00000118,A000111,2026-02-20,64.4,direct_debit,payment,bank_file,
P00000119,A000111,2026-03-13,82.31,bank_transfer,payment,bank_file,
P00000120,A000112,2026-04-25,174.39,card,payment,agency_file,
P00000121,A000115,2026-04-12,88.64,direct_debit,payment,direct_debit,
P00000122,A000117,2026-01-24,521.36,direct_debit,payment,customer_portal,
P00000123,A000117,2026-02-19,677.24,direct_debit,payment,customer_portal,
P00000124,A000122,2025-10-25,120.64,bank_transfer,payment,customer_portal,
P00000125,A000122,2025-12-13,122.76,direct_debit,payment,customer_portal,
P00000126,A000122,2026-01-29,81.0,card,payment,agency_file,
P00000127,A000122,2026-02-18,108.99,card,payment,customer_portal,
P00000128,A000125,2026-03-24,146.91,direct_debit,payment,agency_file,
P00000129,A000125,2026-04-19,1025.71,direct_debit,payment,agency_file,
P00000130,A000126,2025-02-15,269.39,bank_transfer,payment,customer_portal,
P00000131,A000126,2025-03-08,586.92,direct_debit,payment,bank_file,
P00000132,A000126,2025-03-09,809.23,direct_debit,payment,customer_portal,
P00000133,A000130,2025-12-15,310.43,bank_transfer,payment,manual_adjustment,
P00000134,A000130,2025-12-22,144.34,bank_transfer,payment,agency_file,
P00000135,A000130,2026-01-15,326.23,bank_transfer,payment,bank_file,
P00000136,A000131,2026-02-20,76.77,direct_debit,payment,bank_file,
P00000137,A000132,2026-04-05,630.26,bank_transfer,payment,manual_adjustment,
P00000138,A000133,2026-02-24,85.75,bank_transfer,payment,agency_file,
P00000139,A000133,2026-04-12,48.0,card,payment,agency_file,
P00000140,A000136,2026-04-10,224.18,cash,payment,direct_debit,
P00000141,A000137,2026-03-02,313.41,bpay,payment,bank_file,
P00003741,A000138,2026-02-22,25.81,direct_debit,payment,legacy_migration,
P00000142,A000139,2026-02-09,2177.17,direct_debit,payment,agency_file,
P00000143,A000139,2026-02-23,1173.43,card,payment,customer_portal,
P00000144,A000139,2026-04-02,2232.61,direct_debit,payment,bank_file,
P00000145,A000139,2026-04-23,916.95,bank_transfer,payment,agency_file,
P00000146,A000143,2025-01-28,245.99,bank_transfer,payment,customer_portal,
P00000147,A000147,2025-03-15,456.32,card,payment,bank_file,
P00000148,A000147,2025-04-18,1165.42,bank_transfer,payment,bank_file,
P00000149,A000147,2025-05-16,712.07,bpay,payment,customer_portal,
P00000150,A000147,2025-06-30,462.52,bpay,payment,customer_portal,
P00000151,A000149,2025-11-21,91.14,cash,payment,customer_portal,
P00000152,A000149,2025-11-24,201.76,cash,payment,customer_portal,
P00000153,A000150,2026-01-21,26.52,card,payment,customer_portal,
P00000154,A000150,2026-03-04,44.72,bank_transfer,payment,agency_file,
P00000155,A000152,2025-06-19,616.47,bpay,payment,bank_file,
P00000156,A000152,2025-08-10,1036.63,direct_debit,payment,bank_file,
P00000157,A000152,2025-08-30,522.95,bpay,payment,direct_debit,
P00000158,A000152,2025-09-05,315.45,bpay,payment,bank_file,
P00000159,A000157,2026-03-17,70.48,card,payment,direct_debit,
P00000160,A000157,2026-04-11,467.6,bpay,payment,direct_debit,
P00000161,A000159,2026-03-22,52.39,card,payment,bank_file,
P00000162,A000160,2026-03-07,70.83,bank_transfer,payment,bank_file,
P00000163,A000160,2026-04-05,256.21,direct_debit,payment,agency_file,
P00000164,A000164,2025-09-26,301.31,direct_debit,payment,bank_file,
P00000165,A000164,2025-10-05,181.04,card,payment,bank_file,
P00000166,A000164,2025-11-01,219.75,bank_transfer,payment,bank_file,
P00003723,A000164,2025-11-06,-167.3,card,reversal,manual_adjustment,P00000165
P00000167,A000165,2026-02-07,138.56,card,payment,bank_file,
P00000168,A000166,2026-01-10,44.04,bank_transfer,payment,bank_file,
P00000169,A000166,2026-02-03,191.7,card,payment,agency_file,
P00000170,A000167,2025-02-09,377.29,bpay,payment,customer_portal,
P00000171,A000169,2025-03-30,138.42,bank_transfer,payment,customer_portal,
P00000172,A000173,2025-03-16,54.71,direct_debit,payment,customer_portal,
P00000173,A000173,2025-04-21,41.91,card,payment,bank_file,
P00000174,A000173,2025-05-01,71.32,bank_transfer,payment,customer_portal,
P00003731,A000173,2025-05-03,0.0,bank_transfer,payment,agency_file,
P00000175,A000174,2025-12-01,379.99,card,payment,customer_portal,
P00000176,A000176,2025-04-05,286.47,card,payment,bank_file,
P00000177,A000176,2025-05-20,211.88,bank_transfer,payment,customer_portal,
P00000178,A000176,2025-06-05,216.18,card,payment,direct_debit,
P00000179,A000176,2025-07-18,454.57,cash,payment,agency_file,
P00000180,A000178,2026-02-07,34.43,cash,payment,bank_file,
P00000181,A000178,2026-02-27,41.46,card,payment,agency_file,
P00000182,A000178,2026-03-19,157.89,card,payment,customer_portal,
P00000183,A000186,2025-12-25,63.62,bpay,payment,bank_file,
P00000184,A000187,2025-09-07,119.19,direct_debit,payment,agency_file,
P00000185,A000187,2025-10-25,154.18,bpay,payment,customer_portal,
P00000186,A000187,2025-11-04,242.72,bank_transfer,payment,customer_portal,
P00000187,A000189,2025-07-24,241.44,bank_transfer,payment,agency_file,
P00000188,A000189,2025-08-17,384.72,card,payment,manual_adjustment,
P00000189,A000189,2025-09-04,466.06,direct_debit,payment,agency_file,
P00000190,A000193,2025-10-17,647.37,card,payment,bank_file,
P00000191,A000194,2025-10-09,124.33,bpay,payment,customer_portal,
P00000192,A000194,2025-10-26,124.32,bank_transfer,payment,agency_file,
P00000193,A000194,2025-10-31,111.55,card,payment,agency_file,
P00000194,A000194,2025-12-14,126.48,bank_transfer,payment,bank_file,
P00000195,A000194,2025-12-17,158.79,bank_transfer,payment,agency_file,
P00000196,A000195,2025-08-14,309.93,direct_debit,payment,bank_file,
P00000197,A000199,2025-12-23,7.72,card,payment,customer_portal,
P00000198,A000199,2025-12-30,9.58,card,payment,customer_portal,
P00000199,A000199,2026-01-08,13.23,bank_transfer,payment,agency_file,
P00003757,A000200,2025-01-20,10359.99,bank_transfer,payment,manual_adjustment,
P00000200,A000200,2025-02-02,4387.78,bank_transfer,payment,agency_file,
P00000201,A000202,2025-01-18,103.66,card,payment,agency_file,
P00000202,A000202,2025-02-01,211.44,bank_transfer,payment,agency_file,
P00000203,A000203,2025-09-04,44.29,direct_debit,payment,bank_file,
P00000204,A000203,2025-09-13,212.1,card,payment,agency_file,
P00000205,A000204,2026-04-30,721.9,bank_transfer,payment,direct_debit,
P00000206,A000205,2026-02-18,255.19,direct_debit,payment,manual_adjustment,
P00000207,A000205,2026-03-11,525.35,direct_debit,payment,bank_file,
P00000208,A000208,2025-09-02,1326.15,card,payment,customer_portal,
P00000209,A000210,2025-03-21,75.35,bank_transfer,payment,bank_file,
P00000210,A000212,2026-04-14,410.81,card,payment,customer_portal,
P00000211,A000213,2026-04-01,178.63,bank_transfer,payment,customer_portal,
P00000212,A000213,2026-04-10,113.46,bpay,payment,customer_portal,
P00000213,A000213,2026-04-13,309.38,direct_debit,payment,agency_file,
P00000214,A000217,2026-02-28,239.84,bank_transfer,payment,customer_portal,
P00000215,A000220,2025-10-02,112.99,card,payment,manual_adjustment,
P00000216,A000220,2025-10-29,366.81,card,payment,direct_debit,
P00000217,A000222,2026-01-08,186.78,bank_transfer,payment,bank_file,
P00000218,A000222,2026-01-23,91.84,bank_transfer,payment,agency_file,
P00000219,A000222,2026-02-13,107.57,bank_transfer,payment,direct_debit,
P00000220,A000222,2026-03-23,318.19,card,payment,agency_file,
P00000221,A000224,2026-04-28,28.27,bank_transfer,payment,agency_file,
P00000222,A000226,2026-04-16,189.51,bank_transfer,payment,customer_portal,
P00000223,A000228,2026-03-12,261.94,bank_transfer,payment,customer_portal,
P00000224,A000230,2024-12-05,76.93,card,payment,bank_file,
P00000225,A000231,2026-04-17,21.05,direct_debit,payment,bank_file,
P00000226,A000235,2025-02-19,109.49,card,payment,customer_portal,
P00000227,A000235,2025-03-26,140.81,bank_transfer,payment,customer_portal,
P00000228,A000236,2025-09-10,1083.53,bank_transfer,payment,customer_portal,
P00000229,A000236,2025-09-15,1463.31,direct_debit,payment,agency_file,
P00000230,A000236,2025-10-13,1240.12,direct_debit,payment,agency_file,
P00000231,A000237,2026-02-20,83.39,bank_transfer,payment,agency_file,
P00000232,A000240,2026-02-22,119.14,bank_transfer,payment,direct_debit,
P00000233,A000240,2026-03-17,110.14,bank_transfer,payment,agency_file,
P00000234,A000240,2026-04-17,146.67,direct_debit,payment,agency_file,
P00000235,A000241,2026-01-21,90.04,bank_transfer,payment,bank_file,
P00000236,A000241,2026-03-04,152.54,card,payment,agency_file,
P00000237,A000243,2025-12-20,478.77,card,payment,agency_file,
P00000238,A000244,2025-09-21,99.84,bpay,payment,bank_file,
P00000239,A000244,2025-09-26,72.48,bpay,payment,customer_portal,
P00000240,A000244,2025-10-09,75.39,bank_transfer,payment,customer_portal,
P00000241,A000244,2025-11-15,114.06,bank_transfer,payment,bank_file,
P00000242,A000245,2025-09-10,52.75,card,payment,agency_file,
P00000243,A000245,2025-10-05,59.34,bank_transfer,payment,bank_file,
P00000244,A000245,2025-10-16,85.12,bank_transfer,payment,bank_file,
P00000245,A000246,2025-08-14,135.15,bank_transfer,payment,agency_file,
P00000246,A000246,2025-08-17,463.24,card,payment,agency_file,
P00000247,A000247,2025-05-26,130.11,bank_transfer,payment,direct_debit,
P00000248,A000247,2025-06-20,612.29,card,payment,bank_file,
P00000249,A000251,2026-03-01,703.81,bank_transfer,payment,agency_file,
P00000250,A000254,2025-10-18,100.1,card,payment,bank_file,
P00000251,A000254,2025-11-25,362.48,direct_debit,payment,agency_file,
P00000252,A000256,2024-11-29,358.14,bank_transfer,payment,agency_file,
P00000253,A000261,2025-09-17,150.63,bank_transfer,payment,bank_file,
P00000254,A000262,2026-03-28,3833.83,bank_transfer,payment,customer_portal,
P00000255,A000263,2025-05-22,187.06,direct_debit,payment,customer_portal,
P00000256,A000264,2025-12-31,526.47,bank_transfer,payment,bank_file,
P00000257,A000264,2026-01-18,917.75,bank_transfer,payment,agency_file,
P00000258,A000265,2026-02-25,37.81,bank_transfer,payment,customer_portal,
P00000259,A000265,2026-03-07,37.25,card,payment,customer_portal,
P00000260,A000265,2026-03-22,10.9,card,payment,agency_file,
P00000261,A000270,2026-02-23,1247.77,direct_debit,payment,customer_portal,
P00000262,A000273,2026-03-25,339.84,card,payment,customer_portal,
P00000263,A000273,2026-04-11,369.65,card,payment,customer_portal,
P00000264,A000273,2026-04-19,1053.11,bank_transfer,payment,agency_file,
P00000265,A000278,2025-10-05,1663.57,card,payment,agency_file,
P00000266,A000278,2025-11-02,1875.0,bank_transfer,payment,bank_file,
P00000267,A000278,2025-12-04,3865.39,bank_transfer,payment,bank_file,
P00000268,A000279,2025-03-05,2586.67,bpay,payment,agency_file,
P00000269,A000282,2026-03-08,192.32,bank_transfer,payment,customer_portal,
P00000270,A000282,2026-03-18,118.63,card,payment,bank_file,
P00000271,A000282,2026-03-25,261.48,bank_transfer,payment,bank_file,
P00000272,A000282,2026-04-22,9.79,bank_transfer,payment,customer_portal,
P00000273,A000283,2026-02-24,944.29,card,payment,agency_file,
P00000274,A000283,2026-03-07,1143.32,direct_debit,payment,bank_file,
P00000275,A000283,2026-03-26,466.25,direct_debit,payment,bank_file,
P00000276,A000283,2026-04-24,722.27,bank_transfer,payment,bank_file,
P00000277,A000284,2026-02-25,1655.13,bank_transfer,payment,customer_portal,
P00000278,A000285,2025-10-21,489.63,bank_transfer,payment,direct_debit,
P00000279,A000285,2025-11-30,2160.62,direct_debit,payment,bank_file,
P00000280,A000286,2025-07-29,120.42,bpay,payment,customer_portal,
P00000281,A000288,2024-11-04,1332.29,bank_transfer,payment,agency_file,
P00000282,A000288,2024-12-06,1817.04,bank_transfer,payment,agency_file,
P00000283,A000288,2025-01-03,2628.79,bank_transfer,payment,bank_file,
P00000284,A000288,2025-01-13,372.42,bank_transfer,payment,customer_portal,
P00000285,A000291,2026-02-06,60.93,bpay,payment,customer_portal,
P00000286,A000291,2026-02-09,81.45,bank_transfer,payment,agency_file,
P00000287,A000291,2026-02-23,121.4,card,payment,bank_file,
P00000288,A000292,2026-04-09,91.25,card,payment,bank_file,
P00000289,A000297,2024-12-05,150.7,cash,payment,bank_file,
P00000290,A000297,2025-01-07,193.18,cash,payment,bank_file,
P00000291,A000304,2025-09-12,37.4,card,payment,customer_portal,
P00000292,A000304,2025-10-09,49.62,direct_debit,payment,customer_portal,
P00000293,A000304,2025-11-07,35.0,card,payment,agency_file,
P00000294,A000306,2025-03-07,159.38,direct_debit,payment,agency_file,
P00000295,A000308,2026-01-29,124.8,bank_transfer,payment,customer_portal,
P00000296,A000308,2026-01-30,666.68,direct_debit,payment,customer_portal,
P00000297,A000310,2025-01-22,724.29,bank_transfer,payment,direct_debit,
P00000298,A000310,2025-02-10,773.37,bpay,payment,customer_portal,
P00000299,A000310,2025-03-16,334.32,bpay,payment,customer_portal,
P00000300,A000311,2025-01-30,92.54,bpay,payment,customer_portal,
P00000301,A000311,2025-02-14,176.83,bank_transfer,payment,customer_portal,
P00000302,A000316,2024-12-13,60.75,bpay,payment,customer_portal,
P00000303,A000316,2024-12-21,133.83,card,payment,bank_file,
P00000304,A000320,2025-05-31,161.5,bank_transfer,payment,customer_portal,
P00000305,A000320,2025-06-24,834.22,bank_transfer,payment,customer_portal,
P00000306,A000322,2025-05-11,99.01,direct_debit,payment,direct_debit,
P00000307,A000323,2025-02-07,74.12,card,payment,bank_file,
P00000308,A000325,2025-06-28,742.68,card,payment,bank_file,
P00000309,A000336,2025-05-14,373.37,card,payment,direct_debit,
P00000310,A000336,2025-05-24,475.71,bank_transfer,payment,bank_file,
P00000311,A000336,2025-06-20,1172.64,card,payment,agency_file,
P00000312,A000338,2026-03-01,220.73,card,payment,agency_file,
P00000313,A000340,2025-07-31,26.06,card,payment,customer_portal,
P00000314,A000340,2025-08-13,176.5,card,payment,direct_debit,
P00000315,A000341,2025-01-08,123.7,card,payment,bank_file,
P00000316,A000342,2025-10-12,22.67,direct_debit,payment,agency_file,
P00000317,A000342,2025-10-26,115.48,direct_debit,payment,customer_portal,
P00000318,A000345,2026-03-11,269.71,bank_transfer,payment,agency_file,
P00000319,A000345,2026-03-24,270.84,card,payment,agency_file,
P00000320,A000345,2026-04-15,428.01,cash,payment,direct_debit,
P00000321,A000346,2025-11-20,105.62,bpay,payment,agency_file,
P00000322,A000346,2025-12-25,98.15,card,payment,bank_file,
P00000323,A000346,2026-01-29,89.21,bpay,payment,customer_portal,
P00000324,A000347,2026-03-20,139.5,direct_debit,payment,agency_file,
P00000325,A000347,2026-04-06,315.51,card,payment,agency_file,
P00000325,A000347,2026-04-06,315.51,card,payment,agency_file,
P00000326,A000352,2025-07-22,92.46,bank_transfer,payment,direct_debit,
P00000327,A000352,2025-08-17,199.17,bank_transfer,payment,direct_debit,
P00000328,A000352,2025-08-22,345.28,bpay,payment,manual_adjustment,
P00000329,A000354,2025-05-07,2662.87,card,payment,customer_portal,
P00000330,A000355,2025-04-03,28.48,bank_transfer,payment,customer_portal,
P00000331,A000355,2025-04-21,26.5,direct_debit,payment,agency_file,
P00000332,A000355,2025-04-28,113.54,card,payment,agency_file,
P00000333,A000356,2026-03-02,429.47,direct_debit,payment,agency_file,
P00000334,A000356,2026-04-07,562.41,card,payment,direct_debit,
P00000335,A000358,2025-05-11,19.53,cash,payment,manual_adjustment,
P00000336,A000358,2025-05-26,56.07,direct_debit,payment,agency_file,
P00000337,A000360,2025-05-11,89.38,bank_transfer,payment,bank_file,
P00000338,A000361,2025-01-21,224.83,direct_debit,payment,customer_portal,
P00000339,A000361,2025-02-11,260.64,card,payment,customer_portal,
P00000340,A000361,2025-02-17,224.82,card,payment,agency_file,
P00000341,A000361,2025-03-11,58.57,bank_transfer,payment,agency_file,
P00000342,A000363,2026-01-03,523.35,card,payment,direct_debit,
P00000343,A000363,2026-01-22,505.64,bank_transfer,payment,bank_file,
P00000344,A000363,2026-02-23,330.69,bpay,payment,direct_debit,
P00000345,A000365,2026-02-24,86.43,card,payment,agency_file,
P00000346,A000365,2026-03-30,221.47,bpay,payment,direct_debit,
P00000347,A000365,2026-04-22,151.74,bank_transfer,payment,customer_portal,
P00000348,A000366,2025-04-28,1550.86,direct_debit,payment,bank_file,
P00000349,A000366,2025-06-11,1082.87,card,payment,bank_file,
P00000350,A000366,2025-06-28,1269.25,bank_transfer,payment,direct_debit,
P00000351,A000367,2026-02-19,438.66,card,payment,customer_portal,
P00000352,A000367,2026-03-15,199.93,bpay,payment,bank_file,
P00000353,A000367,2026-03-27,733.46,cash,payment,manual_adjustment,
P00000354,A000368,2026-03-13,483.59,bank_transfer,payment,customer_portal,
P00000355,A000368,2026-03-14,1133.5,card,payment,bank_file,
P00000356,A000373,2025-11-02,620.94,card,payment,manual_adjustment,
P00000357,A000373,2025-12-22,904.29,direct_debit,payment,customer_portal,
P00000358,A000373,2026-01-18,664.37,card,payment,customer_portal,
P00000359,A000374,2025-12-27,1322.23,bpay,payment,customer_portal,
P00000360,A000374,2026-01-03,862.99,bpay,payment,customer_portal,
P00000361,A000374,2026-01-28,972.78,direct_debit,payment,bank_file,
P00000362,A000377,2026-03-14,257.34,bank_transfer,payment,customer_portal,
P00000363,A000378,2025-01-18,1522.83,direct_debit,payment,bank_file,
P00000364,A000379,2024-12-02,345.02,bank_transfer,payment,bank_file,
P00000365,A000379,2024-12-27,804.45,bank_transfer,payment,agency_file,
P00000366,A000380,2025-05-19,96.83,bank_transfer,payment,agency_file,
P00000367,A000380,2025-05-31,219.47,direct_debit,payment,customer_portal,
P00000368,A000381,2026-04-12,262.58,bank_transfer,payment,manual_adjustment,
P00000369,A000382,2026-03-09,134.66,card,payment,agency_file,
P00000370,A000382,2026-03-27,223.17,card,payment,agency_file,
P00000371,A000382,2026-04-13,203.03,bpay,payment,bank_file,
P00000372,A000384,2025-02-18,411.03,bank_transfer,payment,agency_file,
P00000373,A000385,2026-03-30,346.06,cash,payment,agency_file,
P00000374,A000386,2025-08-17,35.46,bpay,payment,bank_file,
P00000375,A000386,2025-09-01,87.76,direct_debit,payment,customer_portal,
P00000376,A000387,2026-03-30,166.98,card,payment,manual_adjustment,
P00000377,A000387,2026-04-14,540.53,bank_transfer,payment,agency_file,
P00000378,A000394,2026-02-12,424.02,bank_transfer,payment,agency_file,
P00000379,A000395,2025-09-27,228.31,bank_transfer,payment,agency_file,
P00000380,A000396,2025-09-28,428.34,bank_transfer,payment,direct_debit,
P00000381,A000399,2025-10-22,25.42,card,payment,agency_file,
P00000382,A000399,2025-11-18,44.24,bank_transfer,payment,agency_file,
P00000383,A000405,2025-07-25,671.66,bank_transfer,payment,bank_file,
P00000384,A000410,2025-11-16,140.33,bank_transfer,payment,agency_file,
P00000385,A000412,2025-12-11,372.96,bank_transfer,payment,agency_file,
P00000386,A000412,2026-01-06,711.33,card,payment,bank_file,
P00000387,A000414,2025-07-23,53.01,direct_debit,payment,customer_portal,
P00000388,A000415,2025-10-12,171.06,bank_transfer,payment,agency_file,
P00000389,A000415,2025-11-15,228.17,bpay,payment,customer_portal,
P00000390,A000415,2025-11-20,891.32,direct_debit,payment,customer_portal,
P00000391,A000416,2025-12-19,103.61,bank_transfer,payment,direct_debit,
P00000392,A000416,2026-01-01,147.53,bank_transfer,payment,customer_portal,
P00000393,A000416,2026-02-19,446.51,card,payment,customer_portal,
P00000394,A000422,2025-06-28,6233.9,bpay,payment,agency_file,
P00000395,A000422,2025-07-09,2215.99,card,payment,customer_portal,
P00000396,A000422,2025-07-15,9824.61,direct_debit,payment,bank_file,
P00000397,A000423,2025-03-22,215.54,direct_debit,payment,direct_debit,
P00000398,A000423,2025-04-16,345.56,direct_debit,payment,customer_portal,
