account_id,customer_id,placement_date,placed_balance,original_balance,product_type,risk_band,customer_age,age_band,income_band,employment_status,state,region,customer_segment,digital_consent,hardship_flag,dispute_flag,prior_successful_payments_12m,credit_score_band,tenure_months,assigned_agency,treatment_stream
A000020,C000816,2026-03-02,1547.05,1558.3,utility_arrears,B,41,35_44,40k_70k,full_time,QLD,metro,standard,1,0,0,4,660_719,48,agency_gamma,digital_first
A000021,C000206,2025-09-28,752.9,596.61,bnpl,C,39,35_44,70k_100k,full_time,VIC,metro,low_contactability,0,0,0,1,600_659,10,agency_alpha,hardship_review
A000022,C003186,2025-09-21,5506.41,4552.69,personal_loan,D,22,18_24,40k_70k,student,SA,metro,standard,1,0,0,2,540_599,57,internal_collections,digital_first
A000023,C000081,2025-03-25,4279.72,3857.23,credit_card,C,34,25_34,40k_70k,full_time,NSW,metro,standard,0,0,0,2,600_659,31,internal_collections,legal_warning
A000024,C002967,2026-02-15,5826.17,5466.2,personal_loan,D,50,45_54,100k_150k,self_employed,NSW,regional,standard,0,0,0,4,540_599,21,agency_gamma,digital_first
A000025,C000214,2024-11-12,3087.38,3434.01,personal_loan,D,26,25_34,40k_70k,full_time,NSW,metro,standard,0,0,0,5,540_599,43,agency_alpha,legal_warning
A000026,C002943,2026-03-27,424.66,451.48,bnpl,B,39,35_44,under_40k,part_time,TAS,metro,standard,0,0,0,5,660_719,25,internal_collections,phone_first
A000027,C000283,2025-10-11,355.3,402.14,telco_arrears,B,33,25_34,100k_150k,casual,VIC,metro,standard,0,0,0,5,660_719,18,internal_collections,phone_first
A000028,C001321,2025-03-27,4139.02,3721.9,credit_card,B,43,35_44,70k_100k,part_time,QLD,regional,hardship,0,1,0,0,660_719,49,agency_beta,sms_email_sequence
A000029,C000989,2025-06-16,4931.82,5452.73,credit_card,C,36,35_44,40k_70k,full_time,NSW,metro,digital_engaged,1,0,0,4,600_659,32,agency_alpha,digital_first
A000030,C002955,2026-02-04,2995.29,4235.62,personal_loan,B,26,25_34,40k_70k,casual,NSW,regional,standard,1,0,0,3,660_719,71,agency_alpha,sms_email_sequence
A000031,C003084,2025-10-28,448.94,358.95,bnpl,C,32,25_34,100k_150k,unknown,NSW,metro,standard,0,0,0,5,600_659,7,agency_alpha,legal_warning
A000032,C002442,2025-04-08,985.85,1135.04,credit_card,A,65,65_plus,70k_100k,part_time,QLD,regional,digital_engaged,1,0,0,2,720_plus,66,agency_beta,sms_email_sequence
A000033,C001925,2026-01-08,1973.67,2249.42,credit_card,E,46,45_54,70k_100k,full_time,QLD,metro,digital_engaged,1,0,0,2,under_540,52,agency_alpha,hardship_review
A000034,C002438,2025-05-19,2342.24,4227.14,personal_loan,D,42,35_44,under_40k,full_time,VIC,regional,digital_engaged,0,0,0,1,540_599,59,agency_alpha,phone_first
A000035,C001104,2025-08-25,6917.07,13757.0,personal_loan,C,23,18_24,70k_100k,student,QLD,regional,digital_engaged,0,0,0,5,600_659,50,agency_gamma,sms_email_sequence
A000036,C003116,2025-09-15,2105.71,3160.95,personal_loan,A,35,35_44,40k_70k,full_time,QLD,metro,hardship,0,1,0,5,720_plus,63,internal_collections,hardship_review
A000037,C002861,2025-10-01,651.87,1061.59,credit_card,D,26,25_34,under_40k,part_time,NSW,remote,standard,1,0,0,1,540_599,53,agency_beta,digital_first
A000038,C001935,2026-01-18,415.19,546.39,telco_arrears,E,51,45_54,under_40k,part_time,WA,metro,standard,0,0,0,1,under_540,26,agency_alpha,hardship_review
A000039,C001362,2025-09-18,1175.05,1439.47,utility_arrears,B,47,45_54,40k_70k,self_employed,VIC,metro,standard,0,0,0,0,660_719,54,agency_beta,legal_warning
A000040,C000518,2025-10-19,7801.51,13298.59,personal_loan,B,37,35_44,100k_150k,part_time,NSW,metro,dispute_prone,0,0,1,3,660_719,29,internal_collections,digital_first
A000041,C001298,2025-08-25,1119.66,1045.97,credit_card,D,64,55_64,under_40k,retired,WA,metro,digital_engaged,1,0,0,0,540_599,41,agency_alpha,digital_first
A000042,C001001,2025-09-19,1423.0,1706.52,credit_card,E,57,55_64,70k_100k,self_employed,VIC,regional,digital_engaged,1,0,0,0,under_540,24,agency_gamma,phone_first
A000043,C001226,2025-07-14,7108.36,5897.66,personal_loan,B,29,25_34,40k_70k,casual,QLD,regional,hardship,0,1,0,3,660_719,10,internal_collections,digital_first
A000044,C000201,2025-01-24,5964.48,5026.09,personal_loan,C,78,65_plus,70k_100k,full_time,VIC,metro,low_contactability,0,0,0,3,600_659,9,agency_beta,sms_email_sequence
A000045,C000370,2025-01-11,466.55,470.86,bnpl,D,53,45_54,70k_100k,self_employed,WA,regional,standard,0,0,0,0,540_599,0,agency_beta,standard
A000046,C000925,2025-03-24,542.16,444.73,utility_arrears,B,32,25_34,40k_70k,unemployed,WA,regional,standard,1,0,0,1,660_719,34,agency_beta,digital_first
A000047,C002499,2026-02-03,2414.41,1931.58,credit_card,C,26,25_34,40k_70k,self_employed,NSW,metro,standard,1,0,0,4,600_659,31,agency_alpha,digital_first
A000048,C002683,2026-03-16,409.65,411.73,telco_arrears,A,34,25_34,40k_70k,full_time,NSW,metro,standard,0,0,0,2,720_plus,23,agency_beta,digital_first
A000049,C000208,2025-04-08,3542.25,3284.86,personal_loan,E,33,25_34,100k_150k,full_time,QLD,unknown,digital_engaged,0,0,0,6,under_540,51,agency_gamma,hardship_review
A000050,C001468,2025-04-08,3759.96,3052.37,credit_card,D,25,25_34,70k_100k,self_employed,VIC,metro,dispute_prone,1,1,1,1,540_599,49,agency_beta,digital_first
A000051,C000128,2026-04-16,5835.33,7990.1,credit_card,C,24,18_24,70k_100k,full_time,NSW,regional,digital_engaged,1,0,0,0,600_659,32,internal_collections,phone_first
A000052,C003249,2025-06-28,2112.44,2449.68,credit_card,B,26,25_34,70k_100k,casual,QLD,regional,standard,1,0,0,4,660_719,20,internal_collections,phone_first
A000053,C003050,2025-05-26,281.75,507.52,utility_arrears,C,56,55_64,40k_70k,self_employed,NSW,metro,digital_engaged,1,0,0,1,600_659,7,agency_beta,legal_warning
A000054,C000444,2025-12-18,119.75,195.88,telco_arrears,C,20,18_24,under_40k,student,NSW,metro,standard,0,0,0,3,600_659,0,internal_collections,hardship_review
A000055,C002320,2025-07-03,2041.17,4157.62,personal_loan,C,46,45_54,100k_150k,full_time,WA,metro,digital_engaged,0,0,1,5,600_659,37,agency_beta,phone_first
A000056,C002712,2025-11-20,2381.7,2225.61,personal_loan,D,30,25_34,70k_100k,self_employed,VIC,metro,digital_engaged,1,0,0,3,540_599,53,agency_alpha,sms_email_sequence
A000057,C003060,2025-11-05,2643.92,3391.28,personal_loan,D,36,35_44,40k_70k,full_time,QLD,metro,digital_engaged,1,0,0,3,540_599,57,agency_alpha,legal_warning
A000058,C001331,2026-02-20,1682.38,3136.54,credit_card,A,59,55_64,100k_150k,retired,NSW,metro,standard,1,0,0,2,720_plus,42,agency_beta,phone_first
A000059,C002644,2025-04-08,364.99,456.85,credit_card,D,29,25_34,40k_70k,self_employed,WA,metro,digital_engaged,0,0,0,0,540_599,59,agency_alpha,standard
A000060,C003262,2026-01-02,412.92,476.9,bnpl,C,55,55_64,70k_100k,part_time,QLD,metro,hardship,0,1,0,1,600_659,39,agency_beta,digital_first
A000061,C000254,2025-10-26,740.62,706.46,bnpl,E,57,55_64,70k_100k,full_time,NSW,regional,standard,0,0,0,0,under_540,24,agency_alpha,phone_first
A000062,C000270,2025-12-18,4166.4,3702.56,personal_loan,C,38,35_44,40k_70k,full_time,NSW,regional,standard,0,0,0,0,600_659,0,internal_collections,phone_first
A000063,C002745,2025-06-24,4438.69,4089.08,personal_loan,B,18,18_24,150k_plus,full_time,QLD,unknown,standard,0,0,0,0,660_719,25,agency_alpha,phone_first
A000064,C003026,2025-02-02,154.18,171.83,telco_arrears,C,26,25_34,under_40k,self_employed,UNKNOWN,regional,digital_engaged,1,0,0,1,600_659,30,agency_alpha,sms_email_sequence
A000065,C003213,2025-10-27,1418.96,1955.61,bnpl,E,55,55_64,under_40k,self_employed,NSW,metro,standard,1,0,0,1,under_540,2,internal_collections,phone_first
A000066,C002114,2025-03-10,6492.21,5424.87,personal_loan,B,46,45_54,70k_100k,full_time,SA,metro,digital_engaged,1,0,0,0,660_719,34,agency_alpha,standard
A000067,C001374,2025-04-05,223.58,367.61,utility_arrears,E,67,65_plus,40k_70k,retired,NSW,metro,standard,0,0,0,2,under_540,56,agency_beta,sms_email_sequence
A000068,C000977,2025-11-26,243.44,387.5,utility_arrears,A,21,18_24,under_40k,full_time,TAS,metro,standard,1,0,0,0,720_plus,38,agency_gamma,sms_email_sequence
A000069,C001926,2026-04-13,682.3,789.74,bnpl,B,31,25_34,40k_70k,full_time,NSW,unknown,digital_engaged,1,0,1,0,660_719,42,agency_gamma,sms_email_sequence
A000070,C000259,2025-06-15,602.73,582.54,bnpl,D,28,25_34,under_40k,full_time,NSW,metro,low_contactability,0,0,0,3,540_599,25,agency_alpha,phone_first
A000071,C001802,2025-02-13,165.66,197.23,utility_arrears,C,55,55_64,70k_100k,full_time,NSW,metro,hardship,1,1,0,3,600_659,30,internal_collections,digital_first
A000072,C002940,2025-11-23,787.92,1086.09,credit_card,C,28,25_34,150k_plus,full_time,VIC,metro,standard,1,0,0,4,600_659,21,agency_beta,sms_email_sequence
A000073,C000967,2025-05-12,1025.23,1316.71,utility_arrears,A,40,35_44,40k_70k,casual,NSW,metro,standard,1,0,1,3,720_plus,51,agency_beta,phone_first
A000074,C002884,2025-11-20,1478.06,2640.08,credit_card,B,49,45_54,40k_70k,full_time,VIC,metro,dispute_prone,0,0,1,1,660_719,38,internal_collections,phone_first
A000075,C002869,2025-07-26,852.77,725.39,utility_arrears,C,36,35_44,70k_100k,full_time,WA,metro,standard,0,0,0,2,600_659,42,agency_beta,phone_first
A000076,C001678,2025-03-03,3378.56,3866.87,personal_loan,C,30,25_34,under_40k,unknown,SA,metro,digital_engaged,1,0,0,0,600_659,43,agency_alpha,hardship_review
A000077,C002126,2025-02-28,5472.96,4402.54,personal_loan,C,46,45_54,under_40k,self_employed,NSW,metro,hardship,1,1,0,0,600_659,54,agency_gamma,sms_email_sequence
A000078,C000117,2026-04-21,5100.11,4131.71,credit_card,C,36,35_44,70k_100k,casual,VIC,regional,standard,1,0,0,0,600_659,24,agency_alpha,standard
A000079,C000589,2025-12-23,2643.87,3066.43,personal_loan,C,21,18_24,40k_70k,full_time,WA,metro,standard,1,0,0,3,600_659,8,agency_beta,digital_first
A000080,C001342,2025-01-24,5143.68,4219.96,credit_card,B,51,45_54,under_40k,,VIC,metro,hardship,0,1,0,0,660_719,38,agency_beta,phone_first
A000081,C000441,2025-11-09,6712.81,7207.14,credit_card,E,52,45_54,150k_plus,part_time,VIC,regional,standard,0,0,0,2,under_540,14,agency_alpha,phone_first
A000082,C003093,2026-03-20,897.22,1179.53,credit_card,C,48,45_54,40k_70k,self_employed,NT,metro,standard,0,0,1,3,600_659,53,agency_beta,phone_first
A000083,C001228,2025-10-01,1926.06,2099.94,personal_loan,C,38,35_44,70k_100k,full_time,VIC,metro,dispute_prone,0,0,1,0,600_659,66,internal_collections,sms_email_sequence
A000084,C002577,2025-06-25,750.48,845.47,bnpl,A,36,35_44,150k_plus,part_time,WA,regional,low_contactability,1,0,0,7,720_plus,48,agency_alpha,digital_first
A000085,C001286,2024-12-15,1274.88,1294.9,credit_card,B,52,45_54,40k_70k,casual,WA,regional,hardship,0,1,0,0,660_719,14,agency_gamma,sms_email_sequence
A000086,C002888,2025-10-16,883.49,1226.91,bnpl,C,55,55_64,40k_70k,full_time,NSW,metro,digital_engaged,1,0,0,2,600_659,49,agency_gamma,phone_first
A000087,C002207,2026-01-18,323.15,356.51,telco_arrears,D,67,65_plus,100k_150k,retired,NSW,regional,standard,1,0,0,0,540_599,23,agency_gamma,phone_first
A000088,C001956,2025-07-25,1481.02,1286.42,bnpl,A,34,25_34,70k_100k,full_time,VIC,remote,low_contactability,0,0,0,3,720_plus,32,agency_beta,phone_first
A000089,C001186,2025-02-01,716.72,536.13,bnpl,E,34,25_34,under_40k,student,SA,metro,digital_engaged,0,0,0,0,under_540,25,agency_gamma,phone_first
A000090,C001381,2025-04-19,939.73,913.68,utility_arrears,B,50,45_54,40k_70k,part_time,WA,regional,standard,1,0,0,1,660_719,20,agency_beta,phone_first
A000091,C001072,2025-07-23,3472.65,3915.73,personal_loan,A,29,25_34,40k_70k,unknown,TAS,metro,digital_engaged,1,0,0,4,720_plus,55,internal_collections,standard
A000092,C001531,2025-11-18,1317.02,1486.18,bnpl,D,54,45_54,150k_plus,casual,NSW,regional,digital_engaged,0,0,0,3,540_599,4,agency_gamma,sms_email_sequence
A000093,C001810,2026-03-07,219.48,354.41,bnpl,C,51,45_54,40k_70k,part_time,SA,regional,digital_engaged,0,0,0,0,600_659,30,agency_alpha,phone_first
A000094,C000247,2025-01-03,2751.39,2612.13,personal_loan,C,40,35_44,40k_70k,casual,VIC,unknown,digital_engaged,1,0,0,2,600_659,48,agency_gamma,sms_email_sequence
A000095,C002201,2025-11-05,641.51,542.35,telco_arrears,C,32,25_34,40k_70k,student,SA,regional,standard,1,0,1,4,600_659,56,agency_gamma,phone_first
A000096,C003138,2024-12-01,8608.2,7270.68,personal_loan,D,40,35_44,40k_70k,full_time,VIC,metro,hardship,1,1,0,0,540_599,24,agency_gamma,legal_warning
A000097,C000971,2026-01-05,2642.65,2567.16,credit_card,A,63,55_64,40k_70k,full_time,QLD,unknown,low_contactability,0,0,0,7,720_plus,33,agency_gamma,sms_email_sequence
A000098,C001229,2025-12-25,1730.52,1589.24,credit_card,D,54,45_54,under_40k,part_time,NSW,metro,standard,1,0,0,2,540_599,28,agency_beta,digital_first
A000099,C001545,2025-07-20,4872.14,4208.03,personal_loan,C,50,45_54,40k_70k,part_time,VIC,metro,standard,1,0,0,3,600_659,10,agency_alpha,digital_first
A000100,C002883,2026-02-08,1454.48,1231.29,utility_arrears,B,19,18_24,40k_70k,student,VIC,metro,standard,0,0,0,0,660_719,33,agency_alpha,phone_first
A000101,C002393,2025-08-14,3402.79,6082.47,personal_loan,A,30,25_34,40k_70k,unknown,WA,metro,hardship,1,1,0,4,720_plus,41,agency_alpha,phone_first
A000102,C002239,2025-10-18,250.13,336.79,telco_arrears,B,54,45_54,40k_70k,self_employed,QLD,unknown,standard,1,0,0,3,660_719,30,internal_collections,digital_first
A000103,C001175,2026-04-27,1958.58,1899.12,credit_card,B,34,25_34,under_40k,casual,VIC,regional,digital_engaged,1,0,0,2,660_719,59,agency_beta,digital_first
A000104,C000331,2025-07-28,5358.98,5296.25,personal_loan,B,63,55_64,100k_150k,full_time,VIC,regional,dispute_prone,1,1,1,1,660_719,50,agency_beta,sms_email_sequence
A000105,C002322,2025-10-02,1223.01,1086.2,bnpl,A,68,65_plus,70k_100k,unemployed,NSW,regional,dispute_prone,0,0,1,2,720_plus,32,agency_gamma,digital_first
A000106,C001594,2025-07-18,767.37,879.03,utility_arrears,A,53,45_54,under_40k,full_time,WA,metro,low_contactability,0,0,0,6,720_plus,35,agency_beta,standard
A000107,C001458,2025-09-13,1316.24,1020.34,credit_card,C,23,18_24,40k_70k,unemployed,QLD,metro,dispute_prone,0,0,1,4,600_659,33,agency_gamma,hardship_review
A000108,C001475,2025-05-04,243.1,535.59,bnpl,A,34,25_34,70k_100k,full_time,QLD,metro,standard,1,0,0,1,720_plus,30,agency_alpha,phone_first
A000109,C001234,2026-01-05,1837.47,2313.05,credit_card,C,61,55_64,40k_70k,full_time,NSW,metro,standard,1,0,0,4,600_659,29,agency_alpha,digital_first
A000110,C001372,2025-11-27,487.27,428.44,bnpl,C,39,35_44,under_40k,full_time,NSW,regional,hardship,1,1,0,3,600_659,52,internal_collections,digital_first
A000111,C002310,2026-02-18,854.21,988.84,credit_card,E,65,65_plus,40k_70k,retired,QLD,metro,standard,1,0,1,0,under_540,30,agency_alpha,hardship_review
A000112,C001545,2026-04-20,234.55,414.69,utility_arrears,A,18,18_24,100k_150k,unemployed,QLD,metro,digital_engaged,1,0,0,5,720_plus,21,agency_beta,hardship_review
A000113,C001637,2024-12-11,9038.86,6560.65,personal_loan,E,32,25_34,70k_100k,part_time,VIC,remote,low_contactability,0,0,1,0,under_540,36,agency_beta,sms_email_sequence
A000114,C000352,2026-03-24,2713.54,4754.88,personal_loan,C,53,45_54,70k_100k,full_time,NSW,metro,standard,1,0,0,2,600_659,62,agency_beta,phone_first
A000115,C001893,2026-02-13,287.6,485.07,bnpl,B,28,25_34,100k_150k,full_time,VIC,metro,low_contactability,0,0,0,0,660_719,9,internal_collections,phone_first
A000116,C000808,2025-10-09,7102.66,8329.94,personal_loan,A,50,45_54,40k_70k,full_time,QLD,regional,low_contactability,1,0,0,2,720_plus,58,agency_beta,digital_first
A000117,C000580,2025-09-14,2526.3,4350.22,personal_loan,C,23,18_24,70k_100k,full_time,WA,metro,hardship,1,1,0,0,600_659,15,agency_beta,standard
A000118,C000800,2025-04-18,955.6,789.47,telco_arrears,B,45,45_54,40k_70k,full_time,VIC,metro,low_contactability,0,0,0,0,660_719,59,agency_beta,digital_first
A000119,C003175,2025-09-12,2430.63,4057.15,credit_card,D,19,18_24,40k_70k,full_time,NSW,metro,digital_engaged,1,0,0,2,540_599,23,agency_beta,sms_email_sequence
A000120,C002500,2025-07-06,230.26,228.99,bnpl,B,44,35_44,under_40k,unemployed,VIC,metro,hardship,0,1,0,4,660_719,1,agency_beta,phone_first
A000121,C000243,2024-11-28,8583.04,8150.47,personal_loan,B,18,18_24,40k_70k,unknown,NSW,regional,dispute_prone,1,0,1,2,660_719,46,agency_alpha,digital_first
A000122,C001512,2025-10-16,836.56,765.14,utility_arrears,C,43,35_44,70k_100k,full_time,QLD,metro,standard,0,1,0,1,600_659,2,agency_beta,sms_email_sequence
A000123,C001408,2025-02-25,3297.32,3770.06,personal_loan,A,36,35_44,40k_70k,part_time,NSW,metro,digital_engaged,1,0,0,6,720_plus,27,internal_collections,phone_first
A000124,C002658,2026-02-13,749.07,1012.48,credit_card,E,40,35_44,70k_100k,full_time,VIC,metro,standard,1,0,0,0,under_540,42,agency_alpha,digital_first
A000125,C000420,2026-03-12,2133.72,3177.79,credit_card,C,56,55_64,40k_70k,part_time,VIC,regional,standard,1,0,0,5,600_659,38,internal_collections,digital_first
A000126,C000356,2025-02-05,2936.09,3042.82,personal_loan,A,32,25_34,40k_70k,casual,QLD,regional,standard,0,0,0,4,720_plus,33,agency_alpha,digital_first
A000127,C001211,2025-07-26,1193.04,1327.5,credit_card,C,49,45_54,70k_100k,casual,WA,regional,standard,0,0,0,0,600_659,57,agency_gamma,phone_first
A000128,C003156,2026-04-19,317.62,267.9,telco_arrears,E,73,65_plus,under_40k,retired,SA,metro,standard,0,0,1,4,under_540,52,agency_beta,sms_email_sequence
A000129,C001601,2025-08-25,6480.92,5682.38,personal_loan,C,37,35_44,under_40k,self_employed,NSW,regional,standard,0,0,0,3,600_659,26,internal_collections,digital_first
A000130,C000672,2025-10-12,3017.4,2848.22,credit_card,C,20,18_24,70k_100k,part_time,NSW,metro,standard,0,0,0,2,600_659,47,internal_collections,digital_first
A000131,C002322,2026-02-06,215.49,267.19,utility_arrears,D,35,35_44,100k_150k,full_time,VIC,metro,digital_engaged,1,0,0,0,540_599,35,agency_beta,digital_first
A000132,C001718,2026-02-08,1219.1,1032.37,utility_arrears,B,30,25_34,40k_70k,part_time,VIC,metro,hardship,0,1,0,2,660_719,46,agency_beta,phone_first
A000133,C000822,2026-01-26,725.99,807.18,utility_arrears,B,30,25_34,150k_plus,unemployed,TAS,metro,digital_engaged,1,0,0,3,660_719,16,internal_collections,digital_first
A000134,C000006,2025-05-13,283.86,228.76,utility_arrears,D,31,25_34,under_40k,full_time,NSW,regional,digital_engaged,0,0,0,0,540_599,34,agency_beta,digital_first
A000135,C001070,2025-03-26,551.17,419.48,telco_arrears,D,35,35_44,100k_150k,full_time,SA,metro,standard,1,0,0,0,540_599,22,internal_collections,digital_first
A000136,C000492,2026-03-26,286.49,363.13,bnpl,A,41,35_44,40k_70k,full_time,NSW,regional,digital_engaged,1,0,0,6,720_plus,48,agency_alpha,digital_first
A000137,C003252,2026-03-01,1169.94,1699.55,credit_card,C,50,45_54,70k_100k,part_time,VIC,metro,dispute_prone,0,0,1,2,600_659,40,agency_beta,sms_email_sequence
A000138,C001359,2026-03-15,198.85,188.13,telco_arrears,A,46,45_54,100k_150k,casual,VIC,metro,dispute_prone,1,0,1,0,720_plus,52,agency_beta,phone_first
A000139,C000360,2026-01-05,9101.92,7578.29,personal_loan,C,18,18_24,40k_70k,student,NSW,metro,digital_engaged,1,0,0,0,600_659,38,agency_beta,digital_first
A000140,C000121,2025-02-25,2289.69,4353.91,personal_loan,D,77,65_plus,100k_150k,part_time,NSW,metro,standard,0,0,0,0,540_599,60,agency_alpha,digital_first
A000141,C000712,2026-02-19,6062.89,5063.12,credit_card,B,53,45_54,100k_150k,part_time,QLD,metro,low_contactability,0,0,0,1,660_719,9,agency_beta,sms_email_sequence
A000142,C001359,,326.96,606.22,credit_card,E,29,25_34,100k_150k,unemployed,ACT,regional,standard,0,0,0,2,under_540,0,agency_alpha,digital_first
A000143,C003000,2024-12-26,528.63,734.58,bnpl,B,34,25_34,40k_70k,full_time,NSW,metro,digital_engaged,0,0,0,0,660_719,30,internal_collections,sms_email_sequence
A000144,C002325,2026-04-20,11103.58,9111.48,personal_loan,D,24,18_24,40k_70k,unemployed,QLD,metro,standard,0,0,0,1,540_599,30,agency_beta,phone_first
A000145,C002951,2026-04-13,562.89,731.13,credit_card,C,29,25_34,70k_100k,full_time,ACT,metro,low_contactability,0,0,0,0,600_659,0,agency_beta,phone_first
A000146,C000308,2025-09-03,388.28,310.66,utility_arrears,D,51,45_54,70k_100k,part_time,VIC,metro,standard,1,0,0,1,540_599,15,agency_gamma,sms_email_sequence
A000147,C002252,2025-03-05,3698.16,7085.46,personal_loan,A,52,45_54,150k_plus,full_time,NSW,metro,standard,1,1,0,1,720_plus,51,agency_beta,digital_first
A000148,C001588,2026-02-13,1081.11,1543.0,credit_card,C,23,18_24,40k_70k,unknown,VIC,metro,low_contactability,0,0,0,0,600_659,41,agency_alpha,digital_first
A000149,C000966,2025-10-03,678.9,550.97,bnpl,D,26,25_34,40k_70k,full_time,NSW,metro,dispute_prone,0,0,1,0,540_599,65,agency_beta,sms_email_sequence
A000150,C002799,2025-11-27,141.98,283.24,telco_arrears,B,70,65_plus,40k_70k,retired,TAS,metro,digital_engaged,1,0,0,6,660_719,12,agency_alpha,phone_first
A000151,C003107,2024-12-04,2837.37,4861.88,personal_loan,B,28,25_34,40k_70k,full_time,SA,regional,low_contactability,0,0,0,0,660_719,31,agency_beta,phone_first
A000152,C001358,2025-06-02,4174.28,8067.59,personal_loan,C,53,45_54,under_40k,casual,VIC,regional,digital_engaged,0,0,0,5,600_659,43,agency_alpha,digital_first
A000153,C000866,2025-01-14,3900.29,3727.82,personal_loan,D,18,18_24,100k_150k,full_time,VIC,regional,dispute_prone,1,0,1,3,540_599,65,agency_beta,digital_first
A000154,C002887,2026-02-12,2964.78,3464.65,credit_card,C,22,18_24,100k_150k,full_time,SA,regional,digital_engaged,0,0,0,2,600_659,41,agency_beta,sms_email_sequence
A000155,C000878,2025-03-21,910.53,1420.83,credit_card,D,38,35_44,40k_70k,casual,VIC,metro,hardship,0,1,0,0,540_599,22,internal_collections,standard
A000156,C001128,2025-11-13,4154.63,3907.22,bnpl,C,27,25_34,under_40k,full_time,WA,regional,digital_engaged,1,0,0,1,600_659,63,agency_gamma,sms_email_sequence
A000157,C001135,2026-01-23,1552.95,2036.55,credit_card,E,67,65_plus,100k_150k,retired,NSW,remote,standard,1,0,0,4,under_540,21,agency_alpha,legal_warning
A000158,C000778,2025-12-23,365.17,381.08,utility_arrears,C,38,35_44,under_40k,full_time,VIC,metro,standard,0,0,0,4,600_659,19,agency_beta,legal_warning
A000159,C001456,2026-02-28,174.89,222.53,utility_arrears,D,46,45_54,under_40k,full_time,VIC,metro,digital_engaged,1,0,0,0,540_599,36,internal_collections,phone_first
A000160,C000618,2026-03-07,630.0,865.78,utility_arrears,C,73,65_plus,under_40k,retired,SA,metro,standard,1,0,0,3,600_659,36,internal_collections,digital_first
