contact_id,account_id,contact_date,contact_channel,contact_result,agent_id,promised_payment_date
K00000228,A000097,2026-03-04,sms,wrong_number,AG013,
K00000233,A000098,2026-01-09,sms,no_answer,AG021,
K00000232,A000098,2026-01-12,sms,no_answer,AG031,
K00000234,A000098,2026-01-12,letter,hardship_discussed,AG045,
K00000235,A000098,2026-01-21,sms,right_party_contact,AG021,
K00000238,A000099,2025-07-22,email,promise_to_pay,AG025,2025-07-25
K00000236,A000099,2025-08-04,sms,right_party_contact,AG009,
K00000237,A000099,2025-08-15,phone,right_party_contact,AG040,
K00000239,A000099,2025-09-19,email,no_answer,AG013,
K00000240,A000100,2026-02-17,email,hardship_discussed,AG038,
K00000241,A000100,2026-03-04,sms,no_answer,AG002,
K00000242,A000101,2025-09-17,sms,delivered,AG032,
K00000243,A000101,2025-10-08,email,promise_to_pay,AG028,2025-10-18
K00000247,A000102,2025-10-28,sms,right_party_contact,AG008,
K00000248,A000102,2025-10-28,email,delivered,AG031,
K00000244,A000102,2025-11-01,letter,no_answer,AG018,
K00000249,A000102,2025-11-11,sms,no_answer,AG028,
K00000246,A000102,2025-12-12,sms,right_party_contact,AG045,
K00000245,A000102,2025-12-15,email,right_party_contact,AG028,
K00000250,A000104,2025-11-18,email,dispute_raised,AG006,
K00000251,A000105,2026-01-12,sms,no_answer,AG017,
K00000254,A000106,2025-07-24,email,wrong_number,AG038,
K00000252,A000106,2025-08-03,phone,promise_to_pay,AG028,2025-08-08
K00000253,A000106,2025-10-02,field_visit,right_party_contact,AG029,
K00000255,A000107,2025-12-21,letter,delivered,AG006,
K00000257,A000108,2025-05-10,sms,no_answer,AG039,
K00000256,A000108,2025-05-31,sms,wrong_number,AG035,
K00000259,A000108,2025-06-15,sms,wrong_number,AG043,
K00000261,A000108,2025-06-17,sms,delivered,AG044,
K00000258,A000108,2025-07-02,email,delivered,AG044,
K00000260,A000108,2025-07-21,sms,dispute_raised,AG004,
K00000262,A000109,2026-01-15,email,hardship_discussed,AG025,
K00000263,A000109,2026-02-07,field_visit,dispute_raised,AG005,
K00000264,A000109,2026-02-19,email,delivered,AG014,
K00000265,A000110,2026-01-02,phone,hardship_discussed,AG017,
K00000266,A000111,2026-03-10,email,delivered,AG019,
K00000267,A000111,2026-03-15,phone,wrong_number,AG039,
K00000270,A000113,2024-12-29,sms,wrong_number,AG013,
K00000268,A000113,2025-01-12,sms,no_answer,AG038,
K00000269,A000113,2025-01-25,phone,dispute_raised,AG014,
K00000271,A000114,2026-04-15,sms,promise_to_pay,AG040,2026-04-20
K00000273,A000114,2026-04-16,email,delivered,AG006,
K00000274,A000114,2026-04-20,sms,delivered,AG039,
K00000272,A000114,2026-04-21,letter,hardship_discussed,AG016,
K00000276,A000115,2026-02-14,sms,no_answer,AG044,
K00000277,A000115,2026-02-16,phone,no_answer,AG042,
K00000275,A000115,2026-02-17,email,wrong_number,AG019,
K00000278,A000115,2026-02-18,letter,right_party_contact,AG039,
K00000279,A000115,2026-02-21,sms,wrong_number,AG009,
K00000280,A000116,2025-11-22,email,wrong_number,AG014,
K00000282,A000117,2025-09-18,phone,right_party_contact,AG019,
K00000283,A000117,2025-09-21,sms,hardship_discussed,AG044,
K00000284,A000117,2025-10-09,sms,delivered,AG018,
K00000281,A000117,2025-11-08,email,delivered,AG028,
K00000286,A000118,2025-05-19,sms,wrong_number,AG017,
K00000285,A000118,2025-05-31,email,wrong_number,AG001,
K00000288,A000118,2025-06-03,letter,no_answer,AG002,
K00000287,A000118,2025-06-11,letter,delivered,AG007,
K00000289,A000118,2025-09-24,sms,no_answer,AG018,
K00000290,A000120,2025-07-15,phone,right_party_contact,AG035,
K00000292,A000120,2025-08-03,phone,delivered,AG014,
K00000293,A000120,2025-08-07,sms,right_party_contact,AG015,
K00000291,A000120,2025-10-13,sms,wrong_number,AG024,
K00000295,A000121,2024-12-22,sms,promise_to_pay,AG025,2024-12-29
K00000294,A000121,2025-02-22,phone,delivered,AG023,
K00000299,A000122,2025-10-16,email,delivered,AG039,
K00000297,A000122,2025-11-22,phone,delivered,AG028,
K00000298,A000122,2025-11-23,phone,delivered,AG019,
K00000296,A000122,2026-01-02,letter,promise_to_pay,AG017,2026-01-12
K00000303,A000123,2025-03-04,email,right_party_contact,AG023,
K00000302,A000123,2025-03-05,sms,delivered,AG036,
K00000300,A000123,2025-03-08,sms,delivered,AG044,
K00000304,A000123,2025-04-30,email,right_party_contact,AG038,
K00000301,A000123,2025-07-01,sms,promise_to_pay,AG023,2025-07-11
K00000305,A000125,2026-03-12,phone,promise_to_pay,AG026,2026-03-19
K00000306,A000125,2026-03-13,email,wrong_number,AG024,
K00000308,A000125,2026-04-12,email,no_answer,AG007,
K00000307,A000125,2026-04-14,phone,no_answer,AG029,
K00000311,A000126,2025-02-07,sms,no_answer,AG029,
K00000310,A000126,2025-02-10,sms,no_answer,AG039,
K00000313,A000126,2025-02-20,letter,no_answer,AG024,
K00000309,A000126,2025-03-11,letter,hardship_discussed,AG010,
K00000312,A000126,2025-03-29,email,delivered,AG013,
K00000314,A000127,2025-07-29,phone,no_answer,AG012,
K00000315,A000127,2025-10-12,sms,delivered,AG008,
K00000316,A000128,2026-04-28,email,wrong_number,AG008,
K00000317,A000129,2025-09-17,email,no_answer,AG040,
K00000318,A000129,2025-11-05,sms,delivered,AG002,
K00000319,A000129,2025-11-11,letter,delivered,AG019,
K00000321,A000129,2025-12-18,phone,no_answer,AG001,
K00000320,A000129,2026-03-08,phone,delivered,AG017,
K00000324,A000130,2025-10-16,letter,delivered,AG031,
K00000327,A000130,2025-10-17,phone,right_party_contact,AG027,
K00000328,A000130,2025-10-24,sms,right_party_contact,AG013,
K00000326,A000130,2025-10-26,email,delivered,AG029,
K00000323,A000130,2025-11-04,sms,no_answer,AG038,
K00000325,A000130,2025-11-11,email,no_answer,AG023,
K00000322,A000130,2025-11-14,phone,hardship_discussed,AG044,
K00000330,A000131,2026-03-03,sms,delivered,AG038,
K00000329,A000131,2026-04-27,email,no_answer,AG001,
K00000331,A000132,2026-02-20,email,dispute_raised,AG023,
K00000334,A000133,2026-01-30,email,hardship_discussed,AG015,
K00000335,A000133,2026-02-06,sms,delivered,AG008,
K00000332,A000133,2026-02-12,email,delivered,AG016,
K00000336,A000133,2026-02-12,sms,wrong_number,AG003,
K00000333,A000133,2026-02-17,email,delivered,AG036,
K00000337,A000135,2025-07-21,email,no_answer,AG034,
K00000338,A000136,2026-04-01,letter,delivered,AG002,
K00000340,A000137,2026-03-20,phone,dispute_raised,AG033,
K00000341,A000137,2026-03-23,sms,delivered,AG019,
K00000339,A000137,2026-03-26,sms,dispute_raised,AG024,
K00000342,A000137,2026-03-26,email,no_answer,AG020,
K00000343,A000137,2026-04-09,field_visit,right_party_contact,AG023,
K00000345,A000139,2026-01-05,sms,delivered,AG033,
K00000344,A000139,2026-01-11,email,delivered,AG005,
K00000346,A000139,2026-02-19,sms,hardship_discussed,AG034,
K00000347,A000139,2026-02-25,email,promise_to_pay,AG016,2026-02-28
K00000348,A000140,2025-04-07,letter,wrong_number,AG004,
K00000350,A000140,2025-04-18,sms,promise_to_pay,AG027,2025-05-02
K00000349,A000140,2025-04-20,sms,dispute_raised,AG011,
K00000352,A000141,2026-02-19,phone,no_answer,AG018,
K00000351,A000141,2026-04-27,email,no_answer,AG014,
K00000353,A000143,2025-01-27,email,delivered,AG030,
K00000355,A000144,2026-04-23,email,delivered,AG007,
K00000354,A000144,2026-04-26,sms,delivered,AG036,
K00000356,A000145,2026-04-14,phone,no_answer,AG009,
K00000357,A000146,2025-10-10,email,dispute_raised,AG044,
K00000358,A000147,2025-03-19,email,wrong_number,AG005,
K00000361,A000148,2026-02-17,phone,wrong_number,AG029,
K00000360,A000148,2026-02-18,phone,delivered,AG036,
K00000359,A000148,2026-03-22,email,wrong_number,AG037,
K00000363,A000149,2025-10-29,letter,no_answer,AG002,
K00000362,A000149,2025-11-18,phone,dispute_raised,AG038,
K00000364,A000150,2026-01-15,email,dispute_raised,AG045,
K00000366,A000151,2024-12-12,email,delivered,AG037,
K00000367,A000151,2025-01-14,letter,no_answer,AG031,
K00000368,A000151,2025-01-29,sms,wrong_number,AG027,
K00000365,A000151,2025-02-20,email,no_answer,AG017,
K00000373,A000152,2025-06-02,sms,delivered,AG023,
K00000372,A000152,2025-06-05,sms,promise_to_pay,AG009,2025-06-10
K00000371,A000152,2025-06-12,letter,no_answer,AG039,
K00000374,A000152,2025-06-12,sms,delivered,AG020,
K00000370,A000152,2025-06-18,letter,hardship_discussed,AG031,
K00000369,A000152,2025-07-30,letter,wrong_number,AG043,
K00000378,A000154,2026-02-13,letter,delivered,AG042,
K00000377,A000154,2026-02-16,sms,delivered,AG034,
K00000376,A000154,2026-02-17,phone,no_answer,AG002,
K00000375,A000154,2026-03-01,email,delivered,AG016,
K00000379,A000154,2026-03-16,email,delivered,AG031,
K00000381,A000156,2026-01-20,email,no_answer,AG015,
K00000380,A000156,2026-03-11,email,right_party_contact,AG018,
K00000383,A000157,2026-01-27,phone,no_answer,AG019,
K00000384,A000157,2026-01-30,email,delivered,AG004,
K00000385,A000157,2026-03-14,email,promise_to_pay,AG016,2026-03-21
K00000382,A000157,2026-04-14,sms,no_answer,AG029,
K00000388,A000158,2025-12-26,phone,delivered,AG018,
K00000386,A000158,2026-01-31,phone,no_answer,AG037,
K00000387,A000158,2026-03-19,phone,delivered,AG025,
K00000390,A000159,2026-03-06,email,delivered,AG006,
K00000389,A000159,2026-04-12,email,delivered,AG007,
K00000391,A000160,2026-04-18,phone,right_party_contact,AG022,
K00000393,A000161,2025-08-27,email,promise_to_pay,AG004,2025-09-01
K00000392,A000161,2025-09-20,sms,hardship_discussed,AG034,
K00000394,A000162,2025-04-07,email,delivered,AG045,
K00000395,A000163,2026-04-30,letter,wrong_number,AG013,
K00000399,A000164,2025-09-25,sms,delivered,AG027,
K00000397,A000164,2025-09-29,email,no_answer,AG036,
K00000398,A000164,2025-10-07,email,no_answer,AG012,
K00000396,A000164,2025-11-26,phone,right_party_contact,AG003,
K00000400,A000165,2026-04-25,email,promise_to_pay,AG010,2026-04-30
K00000403,A000166,2025-12-22,sms,no_answer,AG027,
K00000402,A000166,2025-12-23,sms,no_answer,AG008,
K00000401,A000166,2025-12-24,email,hardship_discussed,AG011,
K00000405,A000167,2025-02-21,phone,promise_to_pay,AG014,2025-02-28
K00000404,A000167,2025-03-14,email,dispute_raised,AG014,
K00000407,A000168,2026-03-28,phone,no_answer,AG009,
K00000406,A000168,2026-03-30,sms,promise_to_pay,AG003,2026-04-04
K00000410,A000169,2025-03-24,letter,hardship_discussed,AG018,
K00000409,A000169,2025-04-09,email,dispute_raised,AG012,
K00000408,A000169,2025-04-28,sms,delivered,AG007,
K00000411,A000171,2025-03-24,sms,no_answer,AG015,
K00000412,A000172,2025-05-29,email,no_answer,AG035,
K00000413,A000173,2025-03-22,email,delivered,AG023,
K00000415,A000173,2025-04-30,sms,no_answer,AG013,
K00000414,A000173,2025-05-03,letter,promise_to_pay,AG009,2025-05-13
K00000416,A000174,2025-11-04,email,no_answer,AG020,
K00000418,A000174,2025-11-14,email,right_party_contact,AG033,
K00000417,A000174,2025-12-10,sms,hardship_discussed,AG038,
K00000420,A000175,2026-03-30,email,dispute_raised,AG008,
K00000419,A000175,2026-04-07,sms,delivered,AG044,
K00000423,A000176,2025-04-04,email,no_answer,AG038,
K00000424,A000176,2025-04-07,phone,no_answer,AG044,
K00000425,A000176,2025-05-02,sms,no_answer,AG002,
K00000422,A000176,2025-09-14,letter,delivered,AG014,
K00000421,A000176,2025-10-09,phone,delivered,AG009,
K00000426,A000177,2025-12-23,sms,no_answer,AG019,
K00000428,A000177,2025-12-25,sms,promise_to_pay,AG028,2026-01-08
K00000427,A000177,2025-12-31,phone,delivered,AG041,
K00000429,A000177,2026-01-18,email,no_answer,AG039,
K00000430,A000177,2026-02-20,email,promise_to_pay,AG013,2026-03-02
K00000431,A000178,2026-03-05,email,hardship_discussed,AG036,
K00000432,A000179,2025-04-19,sms,delivered,AG045,
K00000433,A000180,2026-04-23,email,right_party_contact,AG017,
K00000434,A000180,2026-04-24,email,no_answer,AG031,
K00000436,A000181,2025-02-13,sms,wrong_number,AG029,
K00000437,A000181,2025-02-19,email,promise_to_pay,AG045,2025-03-01
K00000435,A000181,2025-08-26,letter,delivered,AG025,
K00000440,A000182,2026-03-29,sms,delivered,AG032,
K00000439,A000182,2026-04-11,email,no_answer,AG023,
K00000438,A000182,2026-04-22,sms,no_answer,AG039,
K00000441,A000183,2025-12-17,sms,delivered,AG026,
K00000442,A000183,2026-02-05,phone,promise_to_pay,AG014,2026-02-12
K00000444,A000184,2025-03-08,sms,wrong_number,AG035,
K00000443,A000184,2025-03-13,email,dispute_raised,AG038,
K00000445,A000186,2026-01-01,sms,wrong_number,AG035,
K00000446,A000186,2026-01-09,email,right_party_contact,AG022,
K00000447,A000189,2025-07-14,email,no_answer,AG012,
K00000450,A000189,2025-08-16,sms,promise_to_pay,AG009,2025-08-19
K00000451,A000189,2025-08-23,email,dispute_raised,AG017,
K00000448,A000189,2025-10-18,email,no_answer,AG027,
K00000449,A000189,2025-11-09,phone,no_answer,AG026,
K00000452,A000191,2026-02-21,sms,no_answer,AG002,
K00000453,A000193,2025-09-14,email,hardship_discussed,AG029,
K00000454,A000193,2025-10-07,email,delivered,AG039,
K00000455,A000193,2025-10-11,letter,promise_to_pay,AG038,2025-10-14
K00000456,A000193,2025-10-19,email,right_party_contact,AG009,
K00000462,A000194,2025-10-27,email,no_answer,AG014,
K00000461,A000194,2025-10-30,letter,promise_to_pay,AG029,2025-11-06
K00000458,A000194,2025-11-05,email,no_answer,AG016,
K00000460,A000194,2025-11-11,sms,right_party_contact,AG004,
